SINONIMIA,MEDICAMENTO
ACIDUM GALLICUM CRISTALLISATUM                    ,ACIDUM GALLICUM
ACIDUM GAMA-AMINOBUTIRICUM                        ,GABA
ACIDUM HYDROCHLORATUM                             ,ACIDUM MURIATICUM
ACIDUM HYDROCHLORICUM                             ,ACIDUM MURIATICUM
ACIDUM HYDROCHLORIDUM                             ,ACIDUM MURIATICUM
ACIDUM HYDROCYANATUM                              ,ACIDO HIDROCIANICO
ACIDUM HYDROCYANICUM                              ,ACIDO HIDROCIANICO
ACIDUM HYDROFLUORICUM                             ,ACIDUM FLUORICUM
ACIDUM LACTICUM DEXTRUM                           ,ACIDUM SARCOLACTICUM
ACIDUM MUR                                        ,ACIDUM MURIATICUM
ACIDUM NIT                                        ,ACIDUM NITRICUM
ACIDUM NITRICUM DEPURATUM                         ,ACIDUM NITRICUM
ACIDUM NITRO-HYDROCHLORICUM                       ,ACIDUM NITR0-MURIATICUM
ACIDUM NITRO-PHENISIC                             ,ACIDUM PICRICUM
ACIDUM NITRO-PICRICUM                             ,ACIDUM PICRICUM
ACIDUM NITROSO-MURIATICUM                         ,ACIDUM NITR0-MURIATICUM
ACIDUM OXALICUM CRISTALLISATUM                    ,ACIDUM OXALICUM
ACIDUM OXYBENZOICUM                               ,ACIDUM SALICYLICUM
ACIDUM PANGANICUM                                 ,VITAMINA  B15
ACIDUM PHENICUM                                   ,ACIDUM CARBOLICUM
ACIDUM PHENYLICUM                                 ,ACIDUM CARBOLICUM
ACIDUM PHOSPHORICUM CONCENTRATUM                  ,ACIDUM PHOSPHORICUM
ACIDUM PHOSPHORICUM PURUM                         ,ACIDUM PHOSPHORICUM
ACIDUM PICRINICUM                                 ,ACIDUM PICRICUM
ACIDUM PICRONITRICUM                              ,ACIDUM PICRICUM
ACIDUM PICROTOXICUM                               ,PICROTOXINUM
ACIDUM PROPIONICO                                 ,ACIDO PROPIONICO
ACIDUM PRUSSICUM                                  ,ACIDO HIDROCIANICO
ACIDUM RIBONUCLEICUM                              ,ARN
ACIDUM SANTONICUM                                 ,SANTONINUM
ACIDUM SILICICUM                                  ,SILICEA
ACIDUM SULFURICUM                                 ,ACIDUM SULPHURICUM
ACIDUM SULFURIS                                   ,ACIDUM SULPHURICUM
ACIDUM SULFUROSUM                                 ,ACIDUM SULPHUROSUM
ACIDUM SULPHURATUM                                ,SULFUR HYDROGENISATUM
ACIDUM URSODESOXICOLICO (H)                       ,ACIDO URSODESOXICOLICO
ACIDUM VALPROICUM                                 ,ACIDO VALPROICO
ACIDUM VITRIOLI                                   ,ACIDUM SULPHURICUM
ACIDUM ZOOTICUM                                   ,ACIDO HIDROCIANICO
ACINULA CLAVUS                                    ,SECALE CORNUTUM
ACONITIA                                          ,ACONITINUM
ACONITIFOLIUS HUMILIS                             ,PODOPHYLLUM PELTATUM
ACONITUM                                          ,ACONITUM NAPELLUS
ACONITUM ALBIDUM                                  ,ACONITUM NAPELLUS
ACONITUM ANGUSTIFOLIUM                            ,ACONITUM NAPELLUS
ACONITUM CAULE-SIMPLEX                            ,ACONITUM NAPELLUS
ACONITUM COERULEUM                                ,ACONITUM NAPELLUS
ACONITUM DISSECTUM                                ,ACONITUM NAPELLUS
ACONITUM INDIANUM                                 ,ACONITUM FEROX
ACONITUM MULTIFIDUM                               ,ACONITUM NAPELLUS
ACONITUM NAP                                      ,ACONITUM NAPELLUS
ACONITUM TAURICUM                                 ,ACONITUM NAPELLUS
ACONITUM TELYPHONUM                               ,ACONITUM LYCOCTONUM
ACONITUM VIROSUM                                  ,ACONITUM FEROX
ACONITUM VULGARE                                  ,ACONITUM NAPELLUS
ACRILICO                                          ,ACRYLICUM
ACRIS TINCTURA SINE KALI                          ,CAUSTICUM
ACTAEA AMERICANA                                  ,ACTAEA SPICATA
ACTAEA BRACHYPETALA                               ,ACTAEA SPICATA
ACTAEA LONGIPES                                   ,ACTAEA SPICATA
ACTAEA NIGRA                                      ,ACTAEA SPICATA
ACTAEA RUBRA                                      ,ACTAEA SPICATA
ADANSONIA DIGITATA                                ,ADANSONIA GRANDIDIERI
ADELFA                                            ,OLEANDER
ADENOHIPOFISE                                     ,LOBO ANTERIOR HIPOFISE
ADENOSINA (H)                                     ,ADENOSINE TRIPHOSPHATE
ADENOVIRUS NOSODIO                                ,ADENOVIREN NOSODIO
ADEPIS BOAE CONSTRICTORIS                         ,BOA CONSTRICTOR
ADERMINE                                          ,VIT B6
ADIANTHUM CAPILLUS                                ,ADIANTHUM CAPILLUS VENERIS
ADONIS                                            ,ADONIS VERNALIS
ADONIS APENNINA                                   ,ADONIS VERNALIS
ADONIS VER                                        ,ADONIS VERNALIS
ADRENAL                                           ,CORTEX ADRENAL
ADRENAL CORTEX                                    ,CORTEX ADRENAL
ADRENALINA                                        ,ADRENALINUM
ADRENOCORTICOTROPINUM                             ,ACTH
"ADSORVIDA DIFTERIA, TETANO E PERTUSSIS-DTP        ","DIFTERIA, TETANO E PERTUSSIS"
